pocet_osob,pocet_exekuci,nazev_obce,kod_obce_zuj,obvod_orp,okres,kraj
52,279,"Želechovice nad Dřevnicí",500011,7213,Zlín,"Zlínský kraj"
50,219,"Petrov nad Desnou",500020,7111,Šumperk,"Olomoucký kraj"
28,164,Libhošť,500046,8115,"Nový Jičín","Moravskoslezský kraj"
35,138,Krhová,500062,7210,Vsetín,"Zlínský kraj"
20,75,Poličná,500071,7210,Vsetín,"Zlínský kraj"
37,198,Bražec,500101,4103,"Karlovy Vary","Karlovarský kraj"
15,104,"Doupovské Hradiště",500127,4106,"Karlovy Vary","Karlovarský kraj"
24,237,Kozlov,500135,7107,Olomouc,"Olomoucký kraj"
6,15,"Luboměř pod Strážnou",500151,7101,Přerov,"Olomoucký kraj"
102,654,"Město Libavá",500160,7110,Olomouc,"Olomoucký kraj"
51,353,"Polná na Šumavě",500194,3103,"Český Krumlov","Jihočeský kraj"
47,220,Veřovice,500259,8105,"Nový Jičín","Moravskoslezský kraj"
39,221,Vřesina,500291,8119,Ostrava-město,"Moravskoslezský kraj"
6359,43072,Olomouc,500496,7107,Olomouc,"Olomoucký kraj"
71,347,Bělkovice-Lašťany,500526,7107,Olomouc,"Olomoucký kraj"
41,233,"Bílá Lhota",500623,7105,Olomouc,"Olomoucký kraj"
28,123,Blatec,500801,7107,Olomouc,"Olomoucký kraj"
79,522,Bohuňovice,500852,7107,Olomouc,"Olomoucký kraj"
59,389,Bouzov,500861,7105,Olomouc,"Olomoucký kraj"
29,164,Bystročice,500879,7107,Olomouc,"Olomoucký kraj"
102,518,"Dlouhá Loučka",501476,7112,Olomouc,"Olomoucký kraj"
65,434,Dolany,501646,7107,Olomouc,"Olomoucký kraj"
68,428,Drahanovice,501751,7107,Olomouc,"Olomoucký kraj"
66,350,"Dub nad Moravou",501794,7107,Olomouc,"Olomoucký kraj"
64,399,Grygov,501841,7107,Olomouc,"Olomoucký kraj"
244,1358,Hlubočky,502146,7107,Olomouc,"Olomoucký kraj"
56,287,Hněvotín,502235,7107,Olomouc,"Olomoucký kraj"
29,167,Hnojice,502405,7110,Olomouc,"Olomoucký kraj"
107,666,"Horka nad Moravou",502545,7107,Olomouc,"Olomoucký kraj"
16,76,Cholina,502839,7105,Olomouc,"Olomoucký kraj"
36,200,Jívová,503142,7110,Olomouc,"Olomoucký kraj"
20,133,Kožušany-Tážaly,503304,7107,Olomouc,"Olomoucký kraj"
7,51,Žitovlice,503410,2118,Nymburk,"Středočeský kraj"
427,2990,Litovel,503444,7105,Olomouc,"Olomoucký kraj"
23,73,Luká,503622,7105,Olomouc,"Olomoucký kraj"
138,811,Lutín,503657,7107,Olomouc,"Olomoucký kraj"
34,226,Majetín,503738,7107,Olomouc,"Olomoucký kraj"
54,364,Kostelec,503916,3213,Tachov,"Plzeňský kraj"
27,162,Mladeč,504246,7105,Olomouc,"Olomoucký kraj"
11,70,Dřenice,504301,5304,Chrudim,"Pardubický kraj"
57,378,Náklo,504441,7105,Olomouc,"Olomoucký kraj"
71,302,"Náměšť na Hané",504505,7107,Olomouc,"Olomoucký kraj"
64,339,Paseka,504785,7112,Olomouc,"Olomoucký kraj"
5,45,Lány,504807,5304,Chrudim,"Pardubický kraj"
5,27,Třibřichy,504921,5304,Chrudim,"Pardubický kraj"
6,35,Dvakačovice,504955,5304,Chrudim,"Pardubický kraj"
6,35,Bítovany,505005,5304,Chrudim,"Pardubický kraj"
41,185,Příkazy,505013,7107,Olomouc,"Olomoucký kraj"
7,31,"Dolní Bezděkov",505030,5304,Chrudim,"Pardubický kraj"
63,435,"Senice na Hané",505081,7105,Olomouc,"Olomoucký kraj"
5,33,"Červená Hora",505099,5209,Náchod,"Královéhradecký kraj"
49,251,Slatinice,505111,7107,Olomouc,"Olomoucký kraj"
117,835,"Březová nad Svitavou",505145,5312,Svitavy,"Pardubický kraj"
168,1183,Štěpánov,505161,7107,Olomouc,"Olomoucký kraj"
760,5369,Šternberk,505188,7110,Olomouc,"Olomoucký kraj"
51,296,Šumvald,505218,7112,Olomouc,"Olomoucký kraj"
59,376,Těšetice,505269,7107,Olomouc,"Olomoucký kraj"
62,385,Troubelice,505293,7112,Olomouc,"Olomoucký kraj"
61,379,Tršice,505366,7107,Olomouc,"Olomoucký kraj"
10,65,"Bělá u Jevíčka",505391,5308,Svitavy,"Pardubický kraj"
125,644,Újezd,505501,7112,Olomouc,"Olomoucký kraj"
14,91,Jenčice,505528,4208,Litoměřice,"Ústecký kraj"
718,4204,Uničov,505587,7112,Olomouc,"Olomoucký kraj"
130,854,"Velká Bystřice",505609,7107,Olomouc,"Olomoucký kraj"
81,398,"Velký Týnec",505650,7107,Olomouc,"Olomoucký kraj"
34,277,"Velký Újezd",505668,7107,Olomouc,"Olomoucký kraj"
42,252,Zápy,505781,2103,Praha-východ,"Středočeský kraj"
10,62,Žerotín,505862,7110,Olomouc,"Olomoucký kraj"
3276,18003,Opava,505927,8117,Opava,"Moravskoslezský kraj"
42,218,Bohuslavice,506192,8109,Opava,"Moravskoslezský kraj"
85,341,Bolatice,506214,8113,Opava,"Moravskoslezský kraj"
55,219,Brumovice,506320,8117,Opava,"Moravskoslezský kraj"
32,212,Březová,506451,8122,Opava,"Moravskoslezský kraj"
318,1697,"Budišov nad Budišovkou",506460,8122,Opava,"Moravskoslezský kraj"
14,72,"Boží Dar",506486,4106,"Karlovy Vary","Karlovarský kraj"
14,41,"Nové Hamry",506494,4103,"Karlovy Vary","Karlovarský kraj"
29,147,Čichalov,506621,4103,"Karlovy Vary","Karlovarský kraj"
13,86,Skořice,506664,3211,Rokycany,"Plzeňský kraj"
9,45,Otmarov,506699,6221,Brno-venkov,"Jihomoravský kraj"
152,826,"Dolní Benešov",506702,8109,Opava,"Moravskoslezský kraj"
16,118,"Dolní Lhota",506711,8119,Ostrava-město,"Moravskoslezský kraj"
35,152,Dvorce,506729,6105,Jihlava,"Kraj Vysočina"
74,397,Chvalčov,506737,7201,Kroměříž,"Zlínský kraj"
70,342,"Háj ve Slezsku",506753,8117,Opava,"Moravskoslezský kraj"
9,60,Alojzov,506761,7108,Prostějov,"Olomoucký kraj"
20,122,Seloutky,506770,7108,Prostějov,"Olomoucký kraj"
725,4081,Hlučín,507016,8109,Opava,"Moravskoslezský kraj"
54,260,Nýdek,507091,8121,Frýdek-Místek,"Moravskoslezský kraj"
10,29,Hněvošice,507105,8117,Opava,"Moravskoslezský kraj"
31,180,Holasovice,507113,8117,Opava,"Moravskoslezský kraj"
33,161,Pržno,507181,8107,Frýdek-Místek,"Moravskoslezský kraj"
36,186,"Komorní Lhotka",507237,8121,Frýdek-Místek,"Moravskoslezský kraj"
65,350,Hrabyně,507261,8117,Opava,"Moravskoslezský kraj"
91,522,"Hradec nad Moravicí",507270,8117,Opava,"Moravskoslezský kraj"
53,279,Chuchelná,507334,8113,Opava,"Moravskoslezský kraj"
77,407,Jakartovice,507377,8117,Opava,"Moravskoslezský kraj"
54,357,Janovice,507423,8107,Frýdek-Místek,"Moravskoslezský kraj"
8,58,Košařiska,507458,8121,Frýdek-Místek,"Moravskoslezský kraj"
42,160,Kobeřice,507504,8113,Opava,"Moravskoslezský kraj"
19,96,Milíkov,507547,8110,Frýdek-Místek,"Moravskoslezský kraj"
204,975,Kravaře,507580,8113,Opava,"Moravskoslezský kraj"
7,23,Doňov,507610,3105,"Jindřichův Hradec","Jihočeský kraj"
16,110,Pleše,507628,3105,"Jindřichův Hradec","Jihočeský kraj"
2,3,Višňová,507652,3105,"Jindřichův Hradec","Jihočeský kraj"
5,26,Záhoří,507695,3105,"Jindřichův Hradec","Jihočeský kraj"
18,87,Peč,507717,3104,"Jindřichův Hradec","Jihočeský kraj"
4,24,Březina,507733,3105,"Jindřichův Hradec","Jihočeský kraj"
8,75,Ratiboř,507784,3105,"Jindřichův Hradec","Jihočeský kraj"
49,302,Litultovice,507920,8117,Opava,"Moravskoslezský kraj"
132,814,Ludgeřovice,507971,8109,Opava,"Moravskoslezský kraj"
3,34,Roseč,508004,3105,"Jindřichův Hradec","Jihočeský kraj"
