exekuci,urad,obvod,trojcisli
85,"Soudní exekutor: Daněk Jaroslav, Mgr. Bc.","Ústí nad Orlicí",229
4318,"Soudní exekutor: Kubena Martin, Mgr.",Brno-město,227
16232,"Soudní Exekutor: Plášilová Kaufmanová Hana, Mgr. Bc.","Praha 7",228
1225,"Soudní Exekutor: Hloch Petr, Mgr.",Ostrava-město,226
32848,"Soudní exekutor: Nevěřilová Pavla, JUDr.",Šumperk,225
28318,"Soudní exekutor: Říhová Andrea, Mgr. LL.M.",Kladno,223
8997,"Soudní Exekutor: Slušná Jana, Mgr.","Žďár nad Sázavou",222
18135,"Soudní Exekutor: Tintěra Pavel, Mgr.",Rakovník,221
82680,"Soudní Exekutor: Suchánek Michal, Mgr.","Praha 9",220
10677,"Soudní Exekutor: Effenberger Jakub, Mgr.",Kolín,219
597,"Soudní Exekutor: Vrána Jan, Mgr. Ing.","Praha 3",218
2192,"Soudní Exekutor: Tunkl Tomáš, Mgr.","Český Krumlov",217
1395,"Soudní Exekutor: Dusílková Ochmannová Lenka, Mgr. LL.M.","Praha 2",216
3234,"Soudní Exekutor: Brančík Ctibor, Mgr.",Zlín,215
1660,"Soudní Exekutor: Škorpil Jan, Mgr.","České Budějovice",213
2922,"Soudní Exekutor: Smola Erik, JUDr.",Strakonice,212
15740,"Soudní Exekutor: Pelikán Petr, Mgr.",Pardubice,211
1685,"Soudní Exekutor: Jeřelová Marie, Mgr.",Blansko,210
12679,"Soudní Exekutor: Slavíček Tomáš, Mgr.",Louny,208
14583,"Soudní Exekutor: Popková Magdaléna, Mgr.",Liberec,209
35057,"Soudní Exekutor: Jarková Jana, JUDr.",Zlín,207
3178,"Soudní Exekutor: Bolom David, Mgr.","Nový Jičín",205
18419,"Soudní Exekutor: Škarpa Jan, Mgr.","Praha 4",206
90113,"Soudní Exekutor: Preus Pavel, Mgr.","Praha 8",204
21779,"Soudní Exekutor: Štika Martin, JUDr. Ing.","Hradec Králové",202
332272,"Soudní Exekutor: Jícha Lukáš, JUDr.",Přerov,203
21357,"Soudní Exekutor: Struminský Pavel, Mgr.",Karviná,201
5377,"Soudní Exekutor: Březinová Blanka, Mgr.",Bruntál,200
4417,"Soudní Exekutor: Skácel Pavel, Mgr.",Vsetín,199
9511,"Soudní Exekutor: Schafferová Jaroslava, Mgr.",Brno-venkov,198
30134,"Soudní Exekutor: Valenta Jan, Mgr.",Olomouc,196
3051,"Soudní Exekutor: Mohyla René, Mgr.",Přerov,187
95836,"Soudní Exekutor: Havlice Alan, JUDr.",Jeseník,197
10521,"Soudní Exekutor: Voborník Tomáš, Mgr.",Pardubice,195
7466,"Soudní Exekutor: Brychta Bohumil, Mgr.","Rychnov nad Kněžnou",194
21971,"Soudní Exekutor: Leskovjan Jiří, JUDr. Et Mgr. LL.M.","Praha 4",189
37796,"Soudní Exekutor: Koutníková Eva, JUDr.",Znojmo,193
12974,"Soudní Exekutor: Šůstek Svatopluk, Mgr.",Olomouc,185
1253,"Soudní Exekutor: Roubal Martin, Mgr.","Jindřichův Hradec",188
9010,"Soudní Exekutor: Janečka Jiří, JUDr. Ph.D.",Plzeň-jih,178
24243,"Soudní Exekutor: Svoboda Ondřej, Mgr.","Praha 9",184
5372,"Soudní Exekutor: Havlová Martina, Mgr.","Praha 10",183
4362,"Soudní Exekutor: Kalistová Jana, Mgr.","Praha 8",182
65770,"Soudní Exekutor: Grosamová Zuzana, Mgr.","Praha 6",180
5083,"Soudní Exekutor: Ráček Zdeněk, Mgr.","Žďár nad Sázavou",179
7727,"Soudní Exekutor: Jenerál Marek, Mgr.",Zlín,177
21664,"Soudní Exekutor: Lavička Josef, JUDr.",Cheb,176
5083,"Soudní Exekutor: Horák Martin, Mgr.",Tábor,173
41786,"Soudní Exekutor: Valentová Lucie, Mgr.",Brno-město,169
2249,"Soudní Exekutor: Bursa Aleš, Mgr.","Mladá Boleslav",172
16089,"Soudní Exekutor: Kiselová Simona, Mgr.",Karviná,171
4754,"Soudní Exekutor: Vychopňová Iva, JUDr.",Benešov,170
19908,"Soudní Exekutor: Micka Petr, Mgr.",Rokycany,168
93886,"Soudní Exekutor: Ivanko Igor, JUDr.","Praha 10",167
12157,"Soudní Exekutor: Šticha Jan, Mgr.",Domažlice,165
1152,"Soudní Exekutor: Kohoutek Predrag, Mgr.",Tábor,152
27713,"Soudní Exekutor: Svoboda Jan, Mgr.",Olomouc,164
6834,"Zánik výkonu Exekutorského úřadu: Makarius Milan, JUDr.",Praha-západ,156
57255,"Soudní Exekutor: Erbert Ivo, JUDr.",Praha-východ,149
6348,"Soudní Exekutor: Bulvas Jiří, JUDr.","Praha 1",146
5716,"Soudní Exekutor: Pajer Pavel, Mgr.",Tachov,141
5487,"Soudní Exekutor: Skoupá Kateřina, Mgr.",Brno-venkov,166
8065,"Soudní Exekutor: Michlová Monika, Mgr. Ing.","Nový Jičín",163
2866,"Soudní Exekutor: Ender Pavel, Mgr.",Ostrava-město,162
23000,"Soudní Exekutor: Petrošová Marcela, Mgr.",Břeclav,160
7744,"Soudní Exekutor: Krejsta Jan, Mgr.",Brno-město,159
6387,"Soudní Exekutor: Bohutínský Jan, JUDr.",Trutnov,158
2418,"Soudní Exekutor: Mlynarčík Jan, Mgr.","Jablonec nad Nisou",154
5375,"Soudní Exekutor: Exner Filip, JUDr.","Praha 7",151
18385,"Soudní Exekutor: Kučera Petr, JUDr. Ing.",Kladno,150
6890,"Soudní Exekutor: Vybíral David, Mgr. LL.M.","Praha 6",148
10334,"Soudní Exekutor: Hanák Ondřej, JUDr. Ph.D.","Praha 5",147
2267,"Soudní Exekutor: Sekyrka Hynek, Mgr.","Praha 1",145
10740,"Soudní Exekutor: Kocinec Jaroslav, Mgr. LL.M.",Frýdek-Místek,142
51310,"Soudní Exekutor: Zwiefelhofer Miloslav, JUDr.","Praha 3",144
1953,"Soudní Exekutor: Vedral Jan, Mgr.","Praha 3",140
192901,"Soudní Exekutor: Kubis Marcel, Mgr.",Šumperk,139
17433,"Soudní Exekutor: Pospíšil Vratislav, JUDr.","Ústí nad Labem",136
63678,"Soudní Exekutor: Peroutka Jan, Mgr.",Chomutov,135
28730,"Soudní Exekutor: Fendrych Jan, JUDr.","Praha 2",132
8798,"Soudní Exekutor: Jaroš Vojtěch, Mgr.",Znojmo,133
90961,"Soudní Exekutor: Prošek Jiří, Mgr. Ing.",Plzeň-město,134
18251,"Soudní Exekutor: Beneš Jan, Mgr.",Praha-západ,191
3385,"Soudní Exekutor: Kozlová Lenka, Mgr. Et Mgr.",Plzeň-jih,190
42019,"Soudní Exekutor: Polanský Petr, Mgr.",Liberec,131
4426,"Soudní Exekutor: Jakubovská Veronika, Mgr.","Kutná Hora",192
53660,"Soudní Exekutor: Zítka Zdeněk, JUDr.",Plzeň-město,108
5763,"Zánik výkonu Exekutorského úřadu:  Zálešák Lubomír, JUDr.",Hodonín,107
38941,"Soudní Exekutor: Wolfová Jitka, JUDr.",Plzeň-město,106
0,"Soudní Exekutor: Leskovjan Jiří, JUDr. Et Mgr. LL.M.","Praha 4",189
37000,"Soudní Exekutor: Vlček Daniel, Mgr.","Praha 7",101
17050,"Soudní Exekutor: Usnul Milan, JUDr.","Praha 9",098
21278,"Soudní Exekutor: Urban Karel, JUDr.",Brno-město,097
4034,"Soudní Exekutor: Tvrdková Jana, JUDr.","Praha 4",095
80932,"Soudní Exekutor: Tunkl Martin, Mgr.",Plzeň-město,094
8614,"Soudní Exekutor: Tomek Jiří, JUDr.",Třebíč,093
74304,"Soudní Exekutor: Švecová Ingrid, JUDr.","Praha 3",091
2767,"Soudní Exekutor: Štrincl Jiří, JUDr. Ph. D.","Jablonec nad Nisou",090
7884,"Soudní Exekutor: Douchová Martina, Mgr.",Tábor,017
45332,"Soudní Exekutor: Svoboda Martin, Mgr.",Teplice,110
0,"Soudní Exekutor: Mohyla René, Mgr.",Přerov,187
4472,"Zánik výkonu Exekutorského úřadu: Souček Kamil, JUDr.",Náchod,083
105116,"Soudní Exekutor: Smékal Marcel, JUDr.",Praha-východ,081
5932,"Zánik výkonu Exekutorského úřadu: Slavata Martin, Mgr.","Mladá Boleslav",080
3947,"Soudní Exekutor: Sedláčková Jaromíra, JUDr.",Příbram,078
5226,"Soudní Exekutor: Sárová Marie, JUDr.",Jihlava,079
7361,"Soudní Exekutor: Trojanovský Jiří, JUDr. LL.M.",Frýdek-Místek,143
19521,"Soudní Exekutor: Pospíchal Tomáš, Mgr.",Nymburk,070
24493,"Soudní Exekutor: Porostlý Vlastimil, JUDr.",Ostrava-město,069
158348,"Soudní exekutor: Podkonický Juraj, JUDr., Ph. D.,","Praha 5",067
3516,"Soudní Exekutor: Peške Jaromír, JUDr.",Plzeň-sever,064
32578,"Soudní Exekutor: Pekárek Jan, Mgr.","Praha 10",061
18321,"Soudní Exekutor: Pazderka Stanislav, JUDr.",Písek,117
21314,"Soudní Exekutor: Paraska Jan, JUDr.",Most,130
45099,"Soudní Exekutor: Pánek Zdeněk, Mgr.",Děčín,112
20725,"Soudní Exekutor: Olma Igor, JUDr.",Svitavy,111
11818,"Soudní Exekutor: Nevřela Jiří, Mgr.",Praha-východ,054
4760,"Soudní Exekutor: Němec Luděk, Mgr.","Karlovy Vary",055
19574,"Soudní Exekutor: Molák Stanislav, Mgr.","Havlíčkův Brod",050
3885,"Soudní Exekutor: Šnaider Dušan, Mgr.",Praha-západ,174
189465,"Soudní Exekutor: Mika Dalimil, JUDr. LL.M.",Klatovy,120
109764,"Soudní Exekutor: Mareš Ondřej, JUDr. LL.M.",Litoměřice,124
234,"Zánik výkonu Exekutorského úřadu: Maisnerová Katarína, JUDr.","Praha 8",048
54203,"Soudní Exekutor: Luhan Ivo, JUDr.","Praha 1",099
5377,"Soudní Exekutor: Král Jiří, Mgr.",Ostrava-město,043
17210,"Soudní Exekutor: Kozáková Ivana, JUDr.",Třebíč,042
62700,"Soudní Exekutor: Košina Kamil, Mgr.",Prachatice,040
87685,"Soudní exekutor: Koncz David, Mgr.",Cheb,074
3293,"Soudní Exekutor: Komínková Zuzana, Mgr.",Vyškov,114
162496,"Soudní Exekutor: Kocián Petr, JUDr.",Brno-venkov,137
4571,"Soudní Exekutor: Karafiát Radek, Mgr.",Jihlava,035
1678,"Soudní Exekutor: Jindra Jan, Mgr., LL.M.",Semily,118
26546,"Soudní Exekutor: Jaroš Petr, Mgr.",Chrudim,129
9735,"Soudní Exekutor: Jablonská Eva, JUDr.","Praha 6",034
2629,"Soudní Exekutor: Chovanec Aleš, JUDr.",Opava,032
7598,"Soudní Exekutor: Chaloupka Roman, JUDr.",Mělník,031
3847,"Soudní Exekutor: Chaloupka David, Mgr.",Kroměříž,122
153425,"Soudní Exekutor: Homola Jaroslav, Mgr.",Brno-město,030
7162,"Soudní Exekutor: Hauerland Miloslav, JUDr.","Praha 5",027
70,"Soudní Exekutor: Hanáček Pavel, Mgr.","Uherské Hradiště",026
2342,"Soudní Exekutor: Glogrová Iveta, JUDr.","Praha 4",126
15915,"Soudní Exekutor: Fučíková Pavla, Mgr.",Ostrava-město,024
10151,"Soudní Exekutor: Franc Jaromír, Mgr.",Jičín,023
4226,"Soudní Exekutor: Fojtová Jana, JUDr.",Pelhřimov,049
55577,"Soudní Exekutor: Flajšhansová Vendula, JUDr.",Plzeň-sever,121
4712,"Soudní Exekutor: Erben Ivan, JUDr.","Praha 8",021
2816,"Soudní Exekutor: Elfmarková Monika, JUDr.","Praha 4",115
8029,"Soudní Exekutor: Dvořák Miloš, Mgr.",Sokolov,041
4709,"Soudní Exekutor: Dvořáčková Marcela, JUDr.","Hradec Králové",019
0,"Soudní Exekutor: Douchová Martina, Mgr.",Tábor,017
11239,"Soudní Exekutor: Dolanský Pavel, Mgr.",Beroun,015
53591,"Soudní Exekutor: Černošková Lenka, Mgr.",Prostějov,018
15064,"Soudní Exekutor: Cink Libor, Mgr.",Břeclav,123
8852,"Soudní Exekutor: Cingroš Josef, Mgr. Ing.",Brno-město,009
7902,"Soudní Exekutor: Bronec Milan, JUDr.","České Budějovice",008
12477,"Soudní Exekutor: Brančík Kamil, Mgr.",Hodonín,007
23099,"Soudní Exekutor: Blažková Alena, JUDr. Ph. D.",Brno-město,006
2172,"Soudní Exekutor: Bémová Jana, JUDr.","Česká Lípa",004
31471,"Soudní Exekutor: Bednář Richard, Mgr.","Praha 10",003
12292,"Soudní Exekutor: Bayer Aleš, JUDr.","Praha 2",002
